KIC
9953894
4476900
7173910
7117153
3245776
4349483
8846978
5984000
4738426
4950505
7198474
9021397
7035139
8264534
10600319
4945588
8386865
2450566
6507541
8097553
2835289
2448320
5543482
6143826
8097902
7975824
8431389
11805235
5611763
11084782
4921906
6447430
8382182
5386810
9532591
7766185
9237533
10149237
4066203
7378178
5960283
9357030
5302006
1868650
6699679
8122124
2162283
10684673
10030943
